train/loss_critic,errors,rollout/actions_std,rollout/episode_steps,rollout/return_history,reference_Q_std,total/epochs,train/loss_actor,rollout/return,reference_actor_Q_mean,success rate,rollout/goal_tolerance,total/steps_per_second,rollout/Q_mean,rollout/actions_mean,total/duration,reference_action_std,rollout/episodes,total/episodes,total/steps,reference_Q_mean,rollout/error,reference_actor_Q_std,reference_action_mean,train/param_noise_distance
0.08574476,0.011109024214153294,0.76910806,10.116083009079118,-7.11,3.344853,1,0.7757636,-9.126718547341115,-1.3631475,1.0,0.01712,24.473720507506275,-2.8773348,-0.0011601861,3187.010327100754,0.872134,7710,7710,77998,-1.9869728,0.1931,3.2896538,0.005431717,0.0
0.095832355,0.01200687427113447,0.7694094,10.096753578732107,-7.61,3.331899,1,0.79486924,-9.107234151329243,-1.3950474,1.0,0.01708,24.45528156570112,-2.885636,-0.00037258177,3230.3042509555817,0.8619874,7824,7824,78998,-1.9963031,0.02845,3.2666085,0.08927853,0.0
0.08454749,0.011324062130717787,0.76969886,10.039663612401155,-6.41,3.3188703,1,0.7540254,-9.049956068783732,-1.3021495,1.0,0.01705,24.434884952464405,-2.8874805,-0.0005052777,3273.925789117813,0.87098026,7967,7967,79998,-1.9343966,0.03851,3.2533891,0.058557972,0.0
0.100843064,0.011663940521049496,0.76996326,9.988531261561228,-6.31,3.33652,1,0.7133461,-8.998643482550253,-1.3095496,1.0,0.01701,24.416136402748002,-2.8858924,0.000244543,3317.396276950836,0.87528247,8109,8109,80998,-1.9368806,0.14127,3.2732213,0.024712762,0.0
0.08917549,0.011736035112529844,0.77019536,9.954837926429525,-6.95,3.342949,1,0.771401,-8.964793007162802,-1.3249316,1.0,0.01698,24.399258515298957,-2.8846881,0.0009472417,3360.6758971214294,0.87033886,8237,8237,81998,-1.9502146,0.1364,3.2885106,0.029652178,0.0
0.08853082,0.011273665003927126,0.77046764,9.913640707118969,-6.72,3.3177123,1,0.74656814,-8.923435260391782,-1.3301136,1.0,0.01695,24.386653969838115,-2.8831406,0.0008522307,3403.4189398288727,0.87227863,8372,8372,82998,-1.9436378,0.2188,3.278396,0.030987391,0.0
0.08221264,0.011612637171220115,0.7707069,9.8998114097124,-7.62,3.306212,1,0.7607201,-8.90947666195191,-1.373085,1.0,0.01691,24.36978550706591,-2.889792,0.0010718306,3446.809163570404,0.8654113,8484,8484,83998,-1.9970939,0.07538,3.2659109,0.04576327,0.0
0.07724846,0.010936092782621767,0.7708779,9.876597722519172,-7.18,3.3166752,1,0.7713691,-8.886125958633512,-1.3683655,1.0,0.01688,24.346968478295448,-2.893111,0.0011120588,3491.1122539043427,0.880497,8606,8606,84998,-1.9880707,0.12705,3.2618062,0.020026863,0.0
0.097630054,0.011897363369676428,0.77106786,9.8363262038202,-6.1,3.3296666,1,0.76703644,-8.845705135537,-1.38882,1.0,0.01684,24.334529358206655,-2.8926592,0.000975625,3533.990681886673,0.880039,8743,8743,85998,-2.0139499,0.11831,3.297628,-0.0017599663,0.0
0.08374729,0.011512346675184384,0.77125746,9.810329273793414,-7.09,3.3156385,1,0.7344376,-8.81957600360848,-1.3981879,1.0,0.01681,24.322020276899124,-2.895373,0.00022959766,3576.92325758934,0.87600267,8868,8868,86998,-2.0135005,0.05981,3.2717447,0.040910587,0.0
