rollout/goal_tolerance,total/steps_per_second,total/epochs,rollout/return,train/loss_critic,reference_action_mean,total/episodes,errors,reference_action_std,reference_actor_Q_std,rollout/Q_mean,rollout/return_history,reference_actor_Q_mean,train/loss_actor,success rate,rollout/actions_std,total/steps,rollout/error,reference_Q_mean,train/param_noise_distance,rollout/episodes,rollout/actions_mean,reference_Q_std,total/duration,rollout/episode_steps
0.01722,27.714525356912322,1,-14.88440405748098,0.15584569,-0.045617163,4732,0.012223202979066762,0.8362072,3.549363,-3.655962,-7.27,-0.34948742,1.1528585,1.0,0.7628586,74998,0.03806,-0.8964845,0.0,4732,-0.0026525261,3.6433349,2706.0900027751923,15.84742180896027
0.01718,27.6827895979532,1,-14.78300518134715,0.16829391,-0.13100445,4825,0.011846533324332836,0.8267071,3.5246544,-3.6573424,-9.3,-0.31673265,1.1198127,1.0,0.76313066,75998,0.0232,-0.90357274,0.0,4825,-0.0021917573,3.6248636,2745.3158118724823,15.746735751295336
0.01715,27.655881631427953,1,-14.660105519480519,0.14499134,-0.06940056,4928,0.011717294985310888,0.83467954,3.5269923,-3.649508,-8.81,-0.29684103,1.1167946,1.0,0.76324636,76998,0.15006,-0.85765254,0.0,4928,-0.0025528958,3.6232858,2784.14555811882,15.624594155844155
0.01712,27.62494107082785,1,-14.547931583134448,0.14016235,-0.10630652,5028,0.011998364308623572,0.8280231,3.5441904,-3.6442132,-9.02,-0.31310707,1.0677876,1.0,0.76347655,77998,0.01676,-0.89872634,0.0,5028,-0.002923551,3.6505823,2823.4630365371704,15.513126491646778
0.01708,27.60384573866935,1,-14.406499318933644,0.13766177,-0.10827508,5139,0.011827547279231188,0.83313876,3.5431504,-3.6402912,-8.35,-0.3045147,1.1065165,1.0,0.7637974,78998,0.08445,-0.8617598,0.0,5139,-0.0032350186,3.6342685,2861.8476116657257,15.372446001167543
0.01705,27.564729204873334,1,-14.24087452471483,0.15927163,-0.12667522,5260,0.01218823394352724,0.8287926,3.522973,-3.6311948,-7.14,-0.26310962,1.0628284,1.0,0.7640129,79998,0.13883,-0.84071827,0.0,5260,-0.004646599,3.625648,2902.187045097351,15.207604562737643
0.01701,27.538222392882727,1,-14.131991051454138,0.13216959,-0.14772655,5364,0.011678747605749622,0.82386327,3.5768874,-3.6235464,-8.56,-0.31026727,0.97772276,1.0,0.7641423,80998,0.03469,-0.8669133,0.0,5364,-0.0059537436,3.6574755,2941.293698787689,15.099366144668158
0.01698,27.515391922204646,1,-14.037335285505124,0.14933121,-0.07407912,5464,0.01133678739340676,0.8243747,3.546642,-3.6198666,-8.96,-0.2769601,1.0531532,1.0,0.76432633,81998,0.11392,-0.8355659,0.0,5464,-0.0067332913,3.6399314,2980.077486515045,15.0053074670571
0.01695,27.49420765616966,1,-13.909824309788455,0.14463305,-0.096492745,5578,0.01187650062133334,0.8270997,3.5188913,-3.6175601,-7.93,-0.3303847,1.0068669,1.0,0.76458144,82998,0.12167,-0.9051227,0.0,5578,-0.0075871064,3.618453,3018.7449312210083,14.878451057726783
0.01691,27.466748820786396,1,-13.833274585830102,0.15437697,-0.11204767,5674,0.010983874031225489,0.8237781,3.5629008,-3.6127121,-9.32,-0.22732249,0.9683728,1.0,0.7646891,83998,0.09273,-0.8149155,0.0,5674,-0.007624406,3.6731396,3058.170464515686,14.802432146633768
