total/steps_per_second,rollout/return_history,total/steps,rollout/episodes,rollout/error,reference_action_std,rollout/actions_std,rollout/goal_tolerance,reference_actor_Q_mean,train/loss_critic,rollout/return,total/duration,reference_Q_std,success rate,rollout/actions_mean,reference_actor_Q_std,errors,reference_action_mean,total/epochs,rollout/episode_steps,reference_Q_mean,train/loss_actor,train/param_noise_distance,total/episodes,rollout/Q_mean
25.60083803783529,-7.97,73998,5650,0.01937,0.91633326,0.76098293,0.01725,-2.0683217,0.08709833,-12.114690265486725,2890.4522535800934,4.7224383,1.0,-0.0038636615,4.6840405,0.011806555254344058,-0.056693222,1,13.095221238938054,-2.461379,1.1326488,0.0,5650,-3.2279592
25.576799392596218,-9.15,74998,5748,0.10951,0.9143353,0.7615601,0.01722,-1.9887166,0.09200291,-12.066631871955463,2932.2668113708496,4.734136,1.0,-0.004877971,4.676447,0.012730117907745333,-0.031059185,1,13.04749478079332,-2.415818,1.0878932,0.0,5748,-3.2334912
25.549750585866015,-9.31,75998,5840,0.12082,0.9185584,0.76198214,0.01718,-2.0191813,0.08658726,-12.029965753424657,2974.5104455947876,4.714271,1.0,-0.005145913,4.665297,0.01214157215953086,-0.056707904,1,13.011130136986301,-2.4402332,1.11422,0.0,5840,-3.2411563
25.522112265604857,-9.45,76998,5937,0.07907,0.91103685,0.7625664,0.01715,-1.9905257,0.09912371,-11.987030486777835,3016.91330242157,4.711918,1.0,-0.0048067123,4.65433,0.012067274011956876,-0.058639336,1,12.968502610746167,-2.4107687,1.1012021,0.0,5937,-3.2441945
25.497401749274132,-8.16,77998,6046,0.05213,0.9081359,0.76297784,0.01712,-2.01089,0.08827554,-11.917300694674164,3059.0567920207977,4.7688932,1.0,-0.004902249,4.693198,0.01176730753213606,-0.06364517,1,12.89910684750248,-2.4324002,1.0472133,0.0,6046,-3.238056
25.477175209179148,-8.38,78998,6152,0.07306,0.9097094,0.76327604,0.01708,-2.0088594,0.08661213,-11.856957087126139,3100.7362217903137,4.747935,1.0,-0.004961175,4.682881,0.011978504011641316,-0.059499893,1,12.839076723016905,-2.4193797,1.0696698,0.0,6152,-3.2321982
25.460726862821748,-8.31,79998,6258,0.25291,0.9181446,0.7637334,0.01705,-2.03996,0.08719595,-11.801054650047938,3142.015561103821,4.708674,1.0,-0.004616965,4.64585,0.011410858221452406,-0.025237197,1,12.783477149248961,-2.4511762,1.0375022,0.0,6258,-3.2322989
25.450447464489752,-9.53,80998,6353,0.02309,0.90634733,0.76408994,0.01701,-2.0010786,0.092261836,-11.767039194081537,3182.5766565799713,4.744849,1.0,-0.0050138202,4.685521,0.011778507950007264,-0.09896346,1,12.749724539587596,-2.4192588,1.0617542,0.0,6353,-3.2341428
25.43244775480909,-8.44,81998,6457,0.03358,0.912302,0.7644343,0.01698,-1.9845803,0.08569109,-11.713334365804553,3224.148960828781,4.7286334,1.0,-0.005335883,4.6654973,0.01123785659335464,-0.019790212,1,12.696298590676784,-2.3919568,1.0575598,0.0,6457,-3.2344987
25.41988397028686,-8.07,82998,6569,0.14022,0.90413356,0.7649266,0.01695,-1.9426712,0.09286226,-11.650783985385903,3265.0817799568176,4.726853,1.0,-0.0055322526,4.662295,0.010702226607911522,-0.071576945,1,12.634038666463693,-2.3680067,1.0851914,0.0,6569,-3.2372127
25.40590239645117,-8.64,83998,6670,0.19736,0.9133978,0.7651785,0.01691,-1.9953649,0.086412,-11.609445277361319,3306.239577293396,4.772415,1.0,-0.0051675136,4.698248,0.011885400510965392,-0.044336747,1,12.59295352323838,-2.4112477,1.1158683,0.0,6670,-3.2332838
25.38608187401233,-7.0,84998,6786,0.12829,0.9072497,0.76548755,0.01688,-1.9484175,0.097823076,-11.540377247273799,3348.212631702423,4.7503643,1.0,-0.0053649177,4.68667,0.011403879646393313,-0.043772668,1,12.524167403477747,-2.3730984,1.04029,0.0,6786,-3.2314496
25.36899052786448,-9.45,85998,6881,0.01341,0.90511554,0.765853,0.01684,-1.9841145,0.09336565,-11.514169452114519,3389.8865587711334,4.728666,1.0,-0.0051205982,4.6676946,0.011793272708889174,-0.103706956,1,12.498183403575062,-2.4033713,1.0358046,0.0,6881,-3.2352293
