rollout/return_history,reference_Q_mean,total/episodes,reference_action_std,rollout/error,success rate,total/steps,rollout/episodes,train/loss_critic,reference_action_mean,rollout/actions_mean,train/loss_actor,rollout/Q_mean,rollout/episode_steps,rollout/return,total/steps_per_second,errors,reference_Q_std,rollout/actions_std,reference_actor_Q_mean,rollout/goal_tolerance,total/duration,train/param_noise_distance,reference_actor_Q_std,total/epochs
-8.27,-2.502624,6558,0.8850327,0.03954,1.0,68998,6558,0.08923023,0.09148004,-0.0024999473,0.77568007,-2.6507795,10.520128087831656,-9.528972247636474,25.149063726902146,0.01172122160791469,3.644995,0.76880676,-1.6974807,0.01743,2743.561380624771,0.0,3.737514,1
-7.1,-2.4826436,6682,0.88963336,0.01525,1.0,69998,6682,0.089541025,0.02195437,-0.0024328933,0.74807787,-2.652752,10.475905417539659,-9.484585453457049,25.133755621527193,0.011806482819787073,3.6275988,0.76908857,-1.6797972,0.01739,2785.019519329071,0.0,3.70781,1
-7.58,-2.4837468,6798,0.8928664,0.01512,1.0,70998,6798,0.07957236,0.054555114,-0.0030532917,0.75072753,-2.651661,10.444248308325978,-9.45278022947926,25.11538163968338,0.012093984433455201,3.641529,0.76929855,-1.681704,0.01736,2826.873229265213,0.0,3.7264698,1
-8.51,-2.4783428,6901,0.89071345,0.08712,1.0,71998,6901,0.08513904,0.057074483,-0.0030755668,0.72047323,-2.6600235,10.429647877119258,-9.438052456165773,25.090834997258245,0.01145390147193882,3.6379502,0.769503,-1.6835068,0.01732,2869.493980884552,0.0,3.7217016,1
-8.46,-2.4645452,7009,0.8850619,0.21702,1.0,72998,7009,0.086660415,0.082876265,-0.0028418826,0.76039237,-2.674442,10.414181766300471,-9.422456841204166,25.080322134329656,0.012334334308080482,3.6476364,0.7698754,-1.6636755,0.01729,2910.56867647171,0.0,3.7331572,1
-9.29,-2.4282956,7105,0.89159757,0.05936,1.0,73998,7105,0.08170522,0.056449145,-0.0027462472,0.7454144,-2.6866221,10.414637579169598,-9.422800844475722,25.06485274962223,0.011907148450841286,3.6171753,0.77009064,-1.6328185,0.01725,2952.2615089416504,0.0,3.695984,1
-9.71,-2.4382143,7200,0.88869464,0.00483,1.0,74998,7200,0.07695723,0.057328787,-0.0035883377,0.7656607,-2.7043643,10.416666666666666,-9.424722222222222,25.050329802819974,0.011679899108723942,3.6502507,0.77038825,-1.6387011,0.01722,2993.8927187919617,0.0,3.7427747,1
-7.53,-2.4084916,7317,0.8836119,0.01625,1.0,75998,7317,0.09452692,0.108779095,-0.0037073172,0.71657205,-2.7057946,10.38677053437201,-9.394697280306136,25.03863519885305,0.011103785863966152,3.6534677,0.7706549,-1.595106,0.01718,3035.229332447052,0.0,3.7496269,1
-7.23,-2.3940935,7429,0.8866033,0.04356,1.0,76998,7429,0.089329,0.072643496,-0.004535682,0.7333393,-2.7119627,10.35980616502894,-9.367613406918831,25.0235296262919,0.01077249692276766,3.6496663,0.7709276,-1.5997721,0.01715,3077.0239510536194,0.0,3.7297564,1
-8.88,-2.3922658,7530,0.8861854,0.04265,1.0,77998,7530,0.08104726,0.09400451,-0.004659274,0.6641969,-2.7211614,10.358034528552457,-9.365737051792829,25.01132124696785,0.011358281853382547,3.6390784,0.7711487,-1.5898411,0.01712,3118.507784128189,0.0,3.7205322,1
