reference_actor_Q_std,total/epochs,train/loss_critic,rollout/Q_mean,reference_Q_mean,reference_action_std,reference_Q_std,success rate,rollout/goal_tolerance,total/episodes,reference_actor_Q_mean,total/steps_per_second,errors,total/steps,rollout/return_history,rollout/actions_mean,rollout/return,rollout/episode_steps,train/loss_actor,total/duration,rollout/actions_std,rollout/episodes,train/param_noise_distance,reference_action_mean,rollout/error
3.7150571,1,0.17035122,-3.1485999,-1.7164068,0.89673316,3.7010388,1.0,0.01778,3177,-1.0148112,27.006875513257736,0.012080105005992594,58998,-10.7,0.020748725,-17.610324205225055,18.570978910922253,1.1057357,2184.554817199707,0.7584222,3177,0.0,-0.046212953,0.01436
3.749294,1,0.176943,-3.1570516,-1.6355774,0.90334195,3.7513206,0.99,0.01774,3250,-0.9224013,26.970108498490266,0.012664146840124265,59998,-12.17,0.020497285,-17.499076923076924,18.460307692307694,1.0549521,2224.6109986305237,0.7591268,3250,0.0,-0.04325573,0.0622
3.7583985,1,0.17352341,-3.1642563,-1.7050493,0.90101266,3.7554927,1.0,0.01771,3337,-0.9983041,26.935850274321407,0.012049738899634883,60998,-10.84,0.021181848,-17.314354210368595,18.27659574468085,1.0875344,2264.5656023025513,0.7597453,3337,0.0,-0.06687832,0.15609
3.7424178,1,0.1787717,-3.1728656,-1.6677585,0.89821225,3.7333713,1.0,0.01767,3432,-0.9815382,26.893774853173095,0.012157363352950734,61998,-9.93,0.020241603,-17.1013986013986,18.064685314685313,1.0649407,2305.291850566864,0.7604975,3432,0.0,-0.071100235,0.1442
3.7989626,1,0.17489271,-3.1758156,-1.6383276,0.9006461,3.8079498,1.0,0.01764,3514,-0.9313853,26.863691594441917,0.012924041953279803,62998,-10.84,0.020932443,-16.96101309049516,17.925156516789983,1.0643784,2345.0983934402466,0.76115996,3514,0.0,-0.09726912,0.02746
3.8031266,1,0.16666599,-3.1819224,-1.6183493,0.8995859,3.8222148,0.99,0.0176,3597,-0.91715336,26.836550531119745,0.012268084142606312,63998,-10.93,0.022560684,-16.823742007228248,17.78843480678343,1.0705107,2384.732714653015,0.76167464,3597,0.0,-0.058281038,0.07855
3.788067,1,0.18518634,-3.1899505,-1.6578239,0.8992407,3.809992,1.0,0.01757,3684,-0.9472255,26.81379939024222,0.012295807671218467,64998,-10.48,0.022844866,-16.677795874049945,17.64332247557003,1.0531493,2424.050357580185,0.7621844,3684,0.0,-0.07084207,0.04553
3.7508686,1,0.1713208,-3.192951,-1.6624038,0.89755714,3.7550004,1.0,0.01753,3781,-0.9609148,26.78376859843315,0.012751428418053162,65998,-9.05,0.022481102,-16.485321343559903,17.45173234594023,1.0322406,2464.104323387146,0.7626698,3781,0.0,-0.10330144,0.02821
3.7563717,1,0.16927221,-3.197723,-1.698847,0.8953536,3.7549667,1.0,0.0175,3874,-0.9862569,26.76147223905878,0.011775476011775208,66998,-9.97,0.02346505,-16.32627774909654,17.29349509550852,1.0645041,2503.524447441101,0.7632064,3874,0.0,-0.10878816,0.05199
3.8114893,1,0.1699279,-3.1996946,-1.6098862,0.89673525,3.8209012,1.0,0.01746,3977,-0.8966962,26.746982859087154,0.01203838890157146,67998,-8.86,0.023259783,-16.129997485541864,17.09806386723661,1.0085077,2542.268051624298,0.7636032,3977,0.0,-0.069454364,0.142
