total/steps_per_second,reference_Q_std,total/steps,reference_action_std,rollout/Q_mean,train/loss_actor,reference_action_mean,rollout/error,rollout/episode_steps,reference_actor_Q_std,rollout/return_history,rollout/return,total/duration,train/loss_critic,rollout/actions_mean,success rate,total/epochs,errors,reference_actor_Q_mean,rollout/actions_std,train/param_noise_distance,total/episodes,reference_Q_mean,rollout/goal_tolerance,rollout/episodes
19.85064238631127,1.9246321,1248998,0.7959917,-1.5726781,0.7661089,0.11168357,0.00687,4.473509838895694,1.5703351,-4.27,-3.473663851460254,62919.77739024162,0.02490333,0.0024299535,1.0,1,0.0008342523884802368,-0.6900594,0.7450754,0.0,279198,-1.1459482,0.00165,279198
19.850992215165526,1.9358785,1249998,0.7962739,-1.5727541,0.78364164,0.10986922,0.00145,4.474192855608848,1.5547024,-4.67,-3.4743467678430813,62969.04388713837,0.02332958,0.0024348872,1.0,1,0.0008506057664730396,-0.6803623,0.74504584,0.0,279380,-1.1252348,0.00165,279380
19.85173896825651,1.8997723,1250998,0.7995068,-1.5728427,0.7751257,0.121299125,0.0655,4.474901541356208,1.5324074,-4.69,-3.475055355041333,63017.04863238335,0.022584148,0.0024305175,1.0,1,0.0007796331759931724,-0.7075048,0.7450097,0.0,279559,-1.166695,0.00164,279559
19.85215160604294,1.8746326,1251998,0.798877,-1.5730491,0.78409874,0.12493762,0.00323,4.475986185889873,1.4446566,-5.91,-3.4761434894213377,63066.11116242409,0.027383441,0.002411584,0.99,1,0.0009430235827479648,-0.6949563,0.74495894,0.0,279714,-1.1685644,0.00164,279714
19.852515334207297,1.9066806,1252998,0.7968008,-1.5732716,0.7943393,0.14965989,0.03471,4.476918514495602,1.5543034,-5.02,-3.477075725851978,63115.32714653015,0.027775366,0.002415162,1.0,1,0.0008875325740403668,-0.7111515,0.74492687,0.0,279878,-1.1408036,0.00164,279878
19.853098570422496,1.8726937,1253998,0.7902711,-1.5735134,0.798274,0.1250537,0.00086,4.477723859412325,1.457376,-4.92,-3.4778809725302,63163.84294128418,0.023170907,0.0024173637,1.0,1,0.0008869132927665064,-0.65631616,0.74490184,0.0,280053,-1.1025578,0.00163,280053
19.85379546778152,1.8917767,1254998,0.7941112,-1.5736527,0.78554183,0.14043753,0.06056,4.478568854091206,1.4757845,-4.62,-3.4787258718948837,63211.994000673294,0.025903657,0.0024323731,1.0,1,0.0007860093067277357,-0.6723068,0.74487185,0.0,280223,-1.1040194,0.00163,280223
19.854229497199206,2.0583284,1255998,0.79188955,-1.5738974,0.8000718,0.14263563,0.01548,4.479425233244886,1.6438884,-4.97,-3.479582156409598,63260.97923755646,0.025274329,0.0024151616,1.0,1,0.0007454265289124912,-0.75960267,0.74484247,0.0,280392,-1.2124164,0.00163,280392
19.854970435694536,1.9801297,1256998,0.7979088,-1.5740362,0.7740658,0.13669322,0.01471,4.480257623928943,1.630336,-4.98,-3.480414450891775,63308.983716249466,0.02551728,0.002454344,1.0,1,0.0008256436354840363,-0.75013506,0.7448112,0.0,280564,-1.1854901,0.00162,280564
19.85511634023275,1.9836168,1257998,0.7923574,-1.5741138,0.7875696,0.13347034,0.00032,4.481014461779583,1.5257041,-4.7,-3.4811711904253047,63358.88334488869,0.02254448,0.0024645992,1.0,1,0.0008610699200406985,-0.7467084,0.7447781,0.0,280740,-1.2070413,0.00162,280740
19.85591374008888,1.923179,1258998,0.78873914,-1.5741649,0.77398753,0.1285098,0.00905,4.481649710595824,1.5489725,-4.88,-3.4818063377022805,63406.70172524452,0.02809309,0.002469634,1.0,1,0.0008533709515870612,-0.74838,0.74474865,0.0,280922,-1.1848471,0.00162,280922
19.856572363826995,1.9064648,1259998,0.7895088,-1.5743555,0.7719825,0.13013585,0.02354,4.482704150790347,1.529483,-5.63,-3.482860690410881,63454.95974397659,0.022501398,0.0024722307,1.0,1,0.000821492932202914,-0.75428915,0.7447164,0.0,281079,-1.162581,0.00161,281079
19.85737829626783,2.008839,1260998,0.7853192,-1.574444,0.7698655,0.13525979,0.01733,4.483158770451588,1.6577157,-3.98,-3.4833152015472457,63502.7434732914,0.025783716,0.002472679,1.0,1,0.0008066798745056786,-0.7789887,0.74468935,0.0,281274,-1.1939057,0.00161,281274
19.857971110510938,1.9019098,1261998,0.78869474,-1.574636,0.79857755,0.114371575,0.00626,4.483952573663958,1.5615925,-4.61,-3.484108908604462,63551.20535612106,0.022149539,0.0024855146,1.0,1,0.0008348349531737276,-0.72500634,0.74466074,0.0,281447,-1.1347392,0.00161,281447
19.85854838069286,1.9111077,1262998,0.7888969,-1.5749515,0.7820327,0.13210608,0.02685,4.484840844850361,1.5930892,-5.34,-3.4849970881922645,63599.71412754059,0.024351148,0.0024806776,1.0,1,0.0008176337008119107,-0.7320086,0.7446197,0.0,281612,-1.1277771,0.00161,281612
19.858601622881675,1.9905508,1263998,0.79344994,-1.5749699,0.792393,0.1491303,0.02465,4.485372812309264,1.6978776,-4.03,-3.485528949198734,63649.89962553978,0.025034,0.0024888527,1.0,1,0.0008140150763286621,-0.7406187,0.744589,0.0,281804,-1.132368,0.0016,281804
